Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,igor.pejin+lfiw4kcu@joinansel.com,761-27-6376,2/1/1962,Quigley,Brooklyn,,M,123 RandStreet,Dallas,Texas,17001,(709) 969-4459 x14094,063-936-0538,Class A,Title Test,Active,4/7/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+t459hxqj@joinansel.com,220-72-1330,1/11/1973,Klein,Dolly,,M,123 RandStreet,Dallas,Texas,17001,468-936-3271 x5366,411-351-4259,Class A,Title Test,Active,7/18/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+jsedrfl4@joinansel.com,342-85-1737,8/24/1993,Zboncak,Eduardo,,M,123 RandStreet,Dallas,Texas,17001,1-528-429-5116,168-217-3925,Class A,Title Test,Active,7/10/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+65tzo7k4@joinansel.com,232-18-4899,9/8/1972,Ward,Paula,,M,123 RandStreet,Dallas,Texas,17001,594-429-5469 x7723,348-458-1121,Class A,Title Test,Active,5/6/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+a7ihctzd@joinansel.com,008-98-3480,5/19/1961,Lemke,Ervin,,M,123 RandStreet,Dallas,Texas,17001,(641) 569-7892,633-770-4501,Class A,Title Test,Active,10/10/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+rqdqkhxf@joinansel.com,786-13-8772,6/8/1954,O'Reilly-Bernhard,Ariel,,M,123 RandStreet,Dallas,Texas,17001,739.297.9832 x45151,450-260-0813,Class A,Title Test,Active,5/16/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+ngqne5y6@joinansel.com,178-68-1994,5/21/1947,Bayer,Daniella,,F,123 RandStreet,Dallas,Texas,17001,(293) 641-0626 x03340,823-997-2040,Class A,Title Test,Active,12/16/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+scqnuidb@joinansel.com,621-23-3512,8/11/1986,Dooley,Felix,,F,123 RandStreet,Dallas,Texas,17001,(611) 371-8824,989-467-8843,Class A,Title Test,Active,9/19/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+jouxhfnw@joinansel.com,023-94-7366,2/12/1968,Fisher,Sibyl,,M,123 RandStreet,Dallas,Texas,17001,(575) 478-5823 x539,138-602-0752,Class A,Title Test,Active,2/10/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+ngmdsmek@joinansel.com,501-31-5785,11/10/1967,Gutkowski,Timmothy,,F,123 RandStreet,Dallas,Texas,17001,752.567.3583 x303,915-971-2120,Class A,Title Test,Active,6/19/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
