Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,igor.pejin+oayqaaag@joinansel.com,565-97-5149,4/18/1962,Schneider,Christa,,F,123 RandStreet,Dallas,Texas,17001,419.502.1882,463-400-1910,Class A,Title Test,Active,5/7/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+ov0qm0hs@joinansel.com,329-90-7248,1/20/1946,Beer,Dillan,,F,123 RandStreet,Dallas,Texas,17001,(845) 777-0159 x89764,245-518-1133,Class A,Title Test,Active,7/20/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+fjvmrgna@joinansel.com,653-29-7333,1/12/1942,Fritsch,Bradley,,M,123 RandStreet,Dallas,Texas,17001,(347) 470-9936,361-676-0016,Class A,Title Test,Active,3/27/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+llumhggt@joinansel.com,760-99-5805,5/16/1992,Hessel,Raegan,,F,123 RandStreet,Dallas,Texas,17001,(674) 753-2810 x751,718-177-8384,Class A,Title Test,Active,12/20/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+cbcwv6om@joinansel.com,533-68-6771,3/4/1967,Brekke,Edna,,F,123 RandStreet,Dallas,Texas,17001,705-203-9470 x914,916-216-6063,Class A,Title Test,Active,6/23/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+yk7devq8@joinansel.com,399-23-9131,1/22/1966,Wisozk,Marcelo,,F,123 RandStreet,Dallas,Texas,17001,876-270-5648 x198,637-415-4343,Class A,Title Test,Active,6/21/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+mqsbieyw@joinansel.com,180-86-4177,4/27/1968,Upton,Mikayla,,F,123 RandStreet,Dallas,Texas,17001,911.214.0278 x53119,636-899-9857,Class A,Title Test,Active,3/6/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+5wmf1gve@joinansel.com,347-25-3853,7/8/1957,Lockman,Vaughn,,F,123 RandStreet,Dallas,Texas,17001,436-701-3374 x597,905-993-1901,Class A,Title Test,Active,12/11/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+ucfpjvz6@joinansel.com,795-74-6569,10/5/1958,Deckow,Estell,,F,123 RandStreet,Dallas,Texas,17001,741.603.9257 x2012,743-044-5946,Class A,Title Test,Active,5/20/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+ejs25fo1@joinansel.com,761-90-1366,12/18/1997,Carter,Ebony,,F,123 RandStreet,Dallas,Texas,17001,1-445-449-4745 x393,736-766-4176,Class A,Title Test,Active,3/16/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
