Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,igor.pejin+71kfzdsg@joinansel.com,776-77-2619,7/26/1968,Tillman,Korey,,M,123 RandStreet,Dallas,Texas,17001,396.740.2478 x854,557-701-4892,Class A,Title Test,Active,1/1/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+dm63hv8z@joinansel.com,669-84-6186,1/2/1952,Blanda,Green,,M,123 RandStreet,Dallas,Texas,17001,1-302-737-7922 x5512,952-677-4388,Class A,Title Test,Active,10/11/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+nwuro8m2@joinansel.com,820-15-1213,3/4/1958,Jast,Gus,,M,123 RandStreet,Dallas,Texas,17001,1-793-295-7708 x8088,076-996-6733,Class A,Title Test,Active,7/15/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+u0ltddma@joinansel.com,935-11-8334,5/11/1950,Connelly,Shyann,,F,123 RandStreet,Dallas,Texas,17001,244.706.5508 x847,474-194-0307,Class A,Title Test,Active,11/28/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+ep91zppe@joinansel.com,912-84-2566,2/27/1941,Ferry-Batz,Unique,,M,123 RandStreet,Dallas,Texas,17001,(374) 742-6334 x14539,807-272-8547,Class A,Title Test,Active,4/20/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+pnllazkl@joinansel.com,576-34-1645,1/18/1972,Quitzon,Tyree,,M,123 RandStreet,Dallas,Texas,17001,635.711.3312 x0717,311-515-3938,Class A,Title Test,Active,12/10/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+k9wrhflt@joinansel.com,923-71-5557,10/12/1955,Kunde,Daphney,,M,123 RandStreet,Dallas,Texas,17001,(942) 812-5021 x48429,920-973-6769,Class A,Title Test,Active,1/14/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+hsqmiw7q@joinansel.com,479-81-9397,4/15/1941,Ortiz,Saul,,F,123 RandStreet,Dallas,Texas,17001,814-306-5111 x60764,412-227-4131,Class A,Title Test,Active,9/4/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+tfbbdhip@joinansel.com,624-17-1480,8/28/1973,Quitzon,Nash,,F,123 RandStreet,Dallas,Texas,17001,1-603-303-5828 x428,885-222-4168,Class A,Title Test,Active,1/26/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+evchldjn@joinansel.com,340-31-8025,9/2/1967,Tillman,Carolanne,,F,123 RandStreet,Dallas,Texas,17001,669-420-8843,078-702-6368,Class A,Title Test,Active,11/13/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
