Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,igor.pejin+en37pktz@joinansel.com,974-84-8922,3/13/1998,Runolfsdottir,Howard,,F,123 RandStreet,Dallas,Texas,17001,348.328.5151 x042,066-332-4067,Class A,Title Test,Active,2/12/2025,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+6qshsd9i@joinansel.com,833-79-5743,10/27/1988,Upton,Tristin,,M,123 RandStreet,Dallas,Texas,17001,767-580-3274,773-207-2163,Class A,Title Test,Active,3/28/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+2x4wmnfe@joinansel.com,005-23-5264,3/15/1979,Tremblay,Maximus,,M,123 RandStreet,Dallas,Texas,17001,(540) 867-9407,895-327-0964,Class A,Title Test,Active,8/3/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+zcmhokhc@joinansel.com,358-95-3817,2/7/1965,Kuhlman,Lucious,,F,123 RandStreet,Dallas,Texas,17001,575.736.5976 x565,562-249-0093,Class A,Title Test,Active,7/12/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+ponjj7zc@joinansel.com,224-72-8796,4/10/1992,Baumbach,Tristian,,F,123 RandStreet,Dallas,Texas,17001,599-598-0234 x5770,150-015-4024,Class A,Title Test,Active,3/15/2025,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+fvoplve3@joinansel.com,272-16-4172,8/29/1962,Hagenes,Anjali,,M,123 RandStreet,Dallas,Texas,17001,522.797.5952 x8700,218-114-2999,Class A,Title Test,Active,9/3/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+wrwkuv69@joinansel.com,025-87-5874,8/2/1985,Gutkowski,Yvonne,,F,123 RandStreet,Dallas,Texas,17001,(862) 861-9738 x15285,114-107-6817,Class A,Title Test,Active,11/19/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+yqsyttgp@joinansel.com,446-76-2381,1/25/1965,Gorczany,Lola,,M,123 RandStreet,Dallas,Texas,17001,1-695-234-3495 x6308,841-793-7637,Class A,Title Test,Active,6/21/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+2bzk5xm5@joinansel.com,749-27-3863,10/22/1940,Johns,Favian,,M,123 RandStreet,Dallas,Texas,17001,(534) 381-4213 x6016,915-496-4415,Class A,Title Test,Active,6/14/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+ftgq73ip@joinansel.com,397-74-1038,2/16/1955,Kihn,Rod,,F,123 RandStreet,Dallas,Texas,17001,(337) 999-9245 x458,427-468-0637,Class A,Title Test,Active,12/3/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
