Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,igor.pejin+rfdeajcf@joinansel.com,599-61-4022,4/8/1989,Hyatt,Demario,,M,123 RandStreet,Dallas,Texas,17001,533-270-9011 x031,052-394-1261,Class A,Title Test,Active,5/25/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+teovocne@joinansel.com,985-35-9720,3/14/1972,Zboncak,Yesenia,,F,123 RandStreet,Dallas,Texas,17001,877-355-7831 x6146,177-211-7663,Class A,Title Test,Active,3/14/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+u5vbgd3v@joinansel.com,133-26-1324,7/29/1973,Kovacek,Polly,,F,123 RandStreet,Dallas,Texas,17001,1-652-316-2912 x2892,813-446-1586,Class A,Title Test,Active,7/14/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+5yew4ktg@joinansel.com,689-27-4731,10/30/1973,Murazik,Daron,,F,123 RandStreet,Dallas,Texas,17001,898-712-3897 x130,592-708-8972,Class A,Title Test,Active,10/1/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+xquauzr5@joinansel.com,158-00-0181,11/7/1994,Goyette,Coty,,M,123 RandStreet,Dallas,Texas,17001,519-759-8887 x8162,009-094-0137,Class A,Title Test,Active,9/29/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+deonm86d@joinansel.com,077-44-5688,11/26/1991,Bins,Janie,,M,123 RandStreet,Dallas,Texas,17001,(791) 957-0549 x5106,211-641-3638,Class A,Title Test,Active,11/27/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+20u0kgv7@joinansel.com,977-77-1532,11/11/1985,Weber,Cruz,,M,123 RandStreet,Dallas,Texas,17001,353.913.4280,292-109-7621,Class A,Title Test,Active,11/8/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+wiaeydie@joinansel.com,631-95-6506,3/27/1976,Grimes,Mable,,M,123 RandStreet,Dallas,Texas,17001,688-225-7691,003-586-1376,Class A,Title Test,Active,7/29/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+ftz0sxwf@joinansel.com,335-98-7518,4/20/1963,King,Lura,,M,123 RandStreet,Dallas,Texas,17001,275-255-2174,682-368-1936,Class A,Title Test,Active,5/20/2024,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+oswcvljd@joinansel.com,890-52-3326,11/18/1985,Grady-Wisozk,Lonie,,F,123 RandStreet,Dallas,Texas,17001,840.421.7148,303-289-0779,Class A,Title Test,Active,12/8/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
