Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,Grayce_Bechtelar5@hotmail.com,984-46-7167,6/15/1944,Kuhlman,Cathy,,M,123 RandStreet,Dallas,Texas,17001,1-773-243-4651 x61473,939-972-5683,Class A,Title Test,Active,1/18/2025,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Trudie_Glover@gmail.com,240-58-3688,1/29/1980,Ebert,Cecile,,M,123 RandStreet,Dallas,Texas,17001,(981) 218-0292 x468,230-115-0839,Class A,Title Test,Active,5/5/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Ole_Reichert@gmail.com,259-22-8331,7/7/1962,Little,Orlando,,M,123 RandStreet,Dallas,Texas,17001,(675) 725-2337 x68193,727-424-0345,Class A,Title Test,Active,2/10/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Judd94@gmail.com,445-21-2187,7/19/1987,Nicolas,Pierre,,F,123 RandStreet,Dallas,Texas,17001,(454) 374-7409 x672,720-640-9887,Class A,Title Test,Active,7/25/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Skye31@gmail.com,220-54-4955,6/15/1985,Hammes,Aidan,,M,123 RandStreet,Dallas,Texas,17001,(225) 293-9945 x0358,443-526-6907,Class A,Title Test,Active,7/8/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Adrain93@gmail.com,408-87-4427,6/15/1984,Robel,Randal,,M,123 RandStreet,Dallas,Texas,17001,1-224-398-4216,900-150-1879,Class A,Title Test,Active,5/15/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Dixie.Skiles@hotmail.com,210-40-4380,11/26/1996,Thompson,Linnie,,M,123 RandStreet,Dallas,Texas,17001,1-845-307-4467 x89682,760-803-1258,Class A,Title Test,Active,2/21/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Porter_Orn94@gmail.com,194-79-9364,6/15/1946,Gislason,Shanon,,F,123 RandStreet,Dallas,Texas,17001,(966) 824-0655 x935,556-213-0015,Class A,Title Test,Active,5/14/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Haven.Hoeger88@yahoo.com,032-15-9721,2/27/1947,Wunsch,Marvin,,F,123 RandStreet,Dallas,Texas,17001,849-347-1816 x76446,771-263-1028,Class A,Title Test,Active,3/3/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,Connor_Kulas31@gmail.com,478-77-3962,4/23/1973,Hermiston,Noah,,M,123 RandStreet,Dallas,Texas,17001,262.235.1416 x8725,464-972-4007,Class A,Title Test,Active,3/23/2025,6/1/26,500,1500,3000,2000,1000,01/13/2021
