Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,igor.pejin+ioilji2n@joinansel.com,549-35-8825,2/17/1953,Dietrich,May,,M,123 RandStreet,Dallas,Texas,17001,750-822-2219,060-548-6172,Class A,Title Test,Active,1/17/2025,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+gflrlvle@joinansel.com,796-01-4000,10/12/1965,Balistreri,Percy,,F,123 RandStreet,Dallas,Texas,17001,1-668-899-3434 x056,002-277-4928,Class A,Title Test,Active,2/15/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+w1yvuzmz@joinansel.com,272-45-6617,6/9/1954,Rolfson,Cordie,,M,123 RandStreet,Dallas,Texas,17001,1-480-839-2626 x2523,260-867-1968,Class A,Title Test,Active,12/25/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+5hs5gjbv@joinansel.com,258-08-6486,4/27/1984,Littel,Ike,,F,123 RandStreet,Dallas,Texas,17001,862-418-1400,342-350-9117,Class A,Title Test,Active,10/22/2017,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+l43g2j6a@joinansel.com,104-16-6653,5/25/1957,Conn,Elton,,M,123 RandStreet,Dallas,Texas,17001,390.337.0452 x5605,904-032-9853,Class A,Title Test,Active,7/16/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+20zld15u@joinansel.com,471-49-3251,4/11/1966,Torp,Lilian,,M,123 RandStreet,Dallas,Texas,17001,855.561.7562,267-573-2987,Class A,Title Test,Active,7/14/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+hstyxq3n@joinansel.com,510-71-5576,12/30/1988,Halvorson,Emilia,,F,123 RandStreet,Dallas,Texas,17001,1-426-291-5462 x212,237-427-0111,Class A,Title Test,Active,12/9/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+evfseptt@joinansel.com,166-52-8527,7/14/1942,Wintheiser,Maryam,,F,123 RandStreet,Dallas,Texas,17001,1-839-892-9802 x42616,631-292-8527,Class A,Title Test,Active,12/24/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+t7pbnv2e@joinansel.com,474-01-2698,11/8/1947,Batz,Hayden,,F,123 RandStreet,Dallas,Texas,17001,1-577-237-9798 x9679,938-479-4012,Class A,Title Test,Active,6/29/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+haejj1vo@joinansel.com,779-11-6187,1/15/1963,Terry,Giovanni,,M,123 RandStreet,Dallas,Texas,17001,427.733.3895 x99683,044-820-7541,Class A,Title Test,Active,12/17/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
