Type,Family/Tier,Relationship,Email,SSN,BirthDate,LastName,FirstName,Suffix,Gender,Street,City,State,ZipCode,MobilePhone,Phone,Eligibility Class,Title,Status,Date Of Hire,Effective Date,Benefit,Severe,Catastrophic,Mental,Chronic,Received Date
Employee,Employee,Primary,igor.pejin+34bmraez@joinansel.com,212-08-8197,4/4/1971,Lebsack,Chloe,,F,123 RandStreet,Dallas,Texas,17001,1-727-736-7795,519-421-1097,Class A,Title Test,Active,8/13/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+0zhkcx59@joinansel.com,927-07-2568,9/7/1988,Lebsack,Devyn,,F,123 RandStreet,Dallas,Texas,17001,1-373-648-8207 x709,628-133-4132,Class A,Title Test,Active,8/21/2022,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+aumebwy5@joinansel.com,390-34-4316,3/2/1987,Nolan,Erwin,,M,123 RandStreet,Dallas,Texas,17001,504.557.5455 x86671,995-733-6058,Class A,Title Test,Active,6/5/2015,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+ml1wguks@joinansel.com,502-79-1843,12/10/1974,Jones,Mateo,,F,123 RandStreet,Dallas,Texas,17001,1-674-853-6517 x45500,155-783-6845,Class A,Title Test,Active,9/20/2020,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+kdanxife@joinansel.com,211-36-5746,11/12/1970,Bailey,Laurianne,,M,123 RandStreet,Dallas,Texas,17001,(294) 558-4692 x18111,102-647-6978,Class A,Title Test,Active,12/24/2019,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+w35fhmcr@joinansel.com,298-18-5041,3/6/1967,Kozey,Camren,,M,123 RandStreet,Dallas,Texas,17001,796.374.3004 x54081,963-296-4619,Class A,Title Test,Active,6/5/2021,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+urxq7wgj@joinansel.com,503-89-9252,12/27/1967,Douglas,Dawn,,M,123 RandStreet,Dallas,Texas,17001,598-417-9210 x07858,946-579-7882,Class A,Title Test,Active,7/10/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+bsmahcuv@joinansel.com,449-25-2526,8/4/1963,Wehner,Julianne,,F,123 RandStreet,Dallas,Texas,17001,810-345-2570 x6995,012-966-0700,Class A,Title Test,Active,10/18/2023,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+xwlogybe@joinansel.com,791-45-1984,6/7/1970,Bashirian,Ilene,,M,123 RandStreet,Dallas,Texas,17001,241-769-0956 x8677,382-202-5291,Class A,Title Test,Active,12/9/2018,6/1/26,500,1500,3000,2000,1000,01/13/2021
Employee,Employee,Primary,igor.pejin+mgyyivmg@joinansel.com,188-42-8559,6/9/1969,Keebler,Alfonzo,,F,123 RandStreet,Dallas,Texas,17001,(853) 964-1505,037-068-2953,Class A,Title Test,Active,5/8/2016,6/1/26,500,1500,3000,2000,1000,01/13/2021
